shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
kēmā́	kema													аэроплан, самолет		ср. ǰōz, ayrapilā́n
kētmán	ketman													кетмень, мотыга		
kêx	kex,kext,kext,kexč,kextow			kêxt			kêxt	kêxč			kêxtṓw			кашлять		
kêxák	kexak													кашель, покашливание	kêxák čīdṓw покашливать	
kibúnd	kibund													название дикорастущего цветка		
kicṓr	kicor													очаг, печь		
kicōrák	kicorak													очажок, печурка		
kīl	kil													голова	di ǰůndṓr kīl θêw опали эту баранью голову; kī́l-at pōlčák голова и ножки убитого животного; mu nan kī́l-at-pōlčák-i x̌avdḗk ðōd моя мать поставила на ночь протушиться голову и ножки (ср. kāl); kīl čīdṓw обрубить верхушку дерева; dēv wēdḗn kīl kin обруби верхушки у этих ивовых деревьев	
kīl	kil													лысый, плешивый		
kilandák	kilandak													"настил из жердей или досок, накладываемый на бревенчатый слой потолка „sipṓx̌č"""		
kilaxxást	kilaxxast													звук (шум, скрип) падающего предмета	yu ðōrg azám-tīr kilaxxást ðōd ar mu xēz то дерево со скрипом упало возле меня	
kilēx̌cák	kilexcak,klexcak	klēx̌cák												лепешки из проса		
kilí	kili													место отделения ветвей дерева от ствола		
kilk	kilk													тростниковое перо		
kilṓ	kilo													съедобная тыква		
kilōgrā́m	kilogram													килограмм		
kilṓyi Silaymů́n payγumbár	kiloyi Silaymun payγumbar													шапка Сулеймана, шапка-невидимка		
kilů́l	kilul													ком, комок, шар		
kilů́x	kilux													ком, глыба земли		ср. γimēgák
kilůx-žī́r	kilux-žir													каменная глыба, большой камень		
kilůxák	kiluxak													маленький комок земли; снежок; перебрасывание орехами, яблоками и т. п. (игра на свадьбе)	kilůxák ðêdṓw, wēðdṓw играть в снежки; перебрасываться орехами, яблоками и т. п. (на свадьбе)	
kilwṓr	kilwor,kirwor	kirwṓr												вещевой мешок, заплечный мешок		(из целой козьей шкуры)
kimxṓ	kimxo													род шелковой ткани, привозившейся из Бадахшана и Читрала		
kin	kin,čud,ču,kixt,čuγ̌j,čidow,či			čūd, сокр. ču			kix̌t	čūγ̌ǰ			čīdṓw, сокр. či			делать	пов. kin, сокр. ki; отриц. māk не делай, мн. mā́kēt; образует многочисленные именные глаголы; pếx-ta as půst kinḗn сапоги делают из кожи; ar čṓ-yēn kinḗn кладут в ямы; daráw ba či wi sat она сразу принялась его целовать	
kīn	kin													ненависть		
kīnā́	kina,kuna	kůnā́												старый, прежний, бывший	kīnā́ (h)ukūmát старое правительство; kīnā́-γ̌in, kůnā-γ̌in старшая, старая жена	
kīndṓr	kindor													ненавидящий		
kinṓr	kinor													объятие, охват руками	kinṓr anǰīvdṓw обнимать(ся)	
kinōrā́	kinora													сторона, край	крайний	
kirā́nd	kirand,kirust,kirunt,kirusč,kiristow			kirū́st			kirů́nt	kirū́sč			kirīstṓw			скоблить, выскребывать		
kirdṓr	kirdor													поступок, действие, поведение, деяние, занятие	yēl kṓr-at kirdṓr работы и занятия на летовье	
kirếx̌	kirex,kirext,kirext,kirexč,kirextow			kirếx̌t			kirếx̌t	kirếx̌č			kirêx̌tṓw			передвигать, раздвигать		
kirī́ws	kiriws,kiruyd,kiroyd,kiriwst,kiruyj,kiroyj,kiriwstow			kirū́yd	kirṓyd		kirī́wst	kirū́yǰ	kirṓyǰ		kirīwstṓw			истекать, вытекать		
kírm-at kanā́	kirm-at kana													черви, насекомые, паразиты		
kírm-at kanā́	kirm-at kana													черви, насекомые, паразиты	yḗ-dand mā x̌ōfc; yḗdand azṓr kírm-at-kanā́ здесь не ложись спать; здесь масса всяких паразитов	
kirṓ	kiro													наемная плата, наем, сдача внаймы	kirṓ ðêdṓw сдать, отдать внаймы; kirṓ čīdṓw сдать, отдать внаймы; нанять; wúz-um xu vōrǰ kirṓ ðōd я отдал внаймы свою лошадь (= yu mu vōrǰ kirṓ-yi čūd он нанял мою лошадь); wúz- um xu čīd kirṓ čūd я отдал свой дом внаймы; yu mu čīd kirṓ-yi čūd он нанял мой дом; kirṓ zêx̌ tṓw получить наемную плату; kirṓ sittṓw наняться вместе со своей лошадью (верблюдом, ослом) для поездки, перевозки; falůní murd kirṓ sut такой-то отправился для меня в поездку (на своей лошади)	
kirū́x̌	kirux													тростник, камыш		
kiryā́r	kiryar													помочь, работа миром; помочанин	kiryā́r čīdṓw созывать на помочь, устраивать работу миром; kiryā́r yattṓw прийти на помочь, участвовать в работе миром; sa(h)ár rux sůd atā, wi kiryārḗn yádēn на рассвете приходят его помочане	
kiryṓ	kiryo													очередь; повинность; складчина		
kiryōí	kiryoi,kiryoi	kiryōí												по очереди, очередность	уīwí ōdám wam tasmā́ nůl kiryōí daráw tīžd sůd по одному человеку начали тянуть по очереди концы того ремня	
kiryṓpč	kiryopč													помидор, сорт мелких дикорастущих помидор	māš kir-yṓpč ʒul-ʒulakí ámmō wurús-and γulā́ наши помидоры мелки, а русские крупные	
kišků́l	kiškul													деревянная миска		
kišmíš	kišmiš													изюм, кишмиш		
kišt	kišt													посев	kišt čīdṓw сеять, засевать; wúz-ta asī́d lapdí kišt kinúm в этом году я засею больше; šič áyni kišt čīdṓw теперь самое время сеять	
kitṓb	kitob													книга	kitobčā́, kitōb-čāyák книжечка, брошюра	
kitōbxůnā́	kitobxuna													библиотека		
kīx̌ ðȇdów (ðað)	kix ðȇdow (ðað)													перепахивать, проводить борозды на поле		(для полива)
kix̌́ếpc	kix́epc													сорока		ж.
kix̌lā́	kixla,kixleʒa	kix̌lēʒā́												висящий, болтающийся		
kix̌ṓð	kixoð													широкий		
kix̌tīnák	kixtinak,kixtin	kix̌tīn												судно, лодка		
kiznā́c	kiznac													название полевого растения	kiznā́č mis xudrū́y wōx̌. āmmō yú-ta vōzā́k-ard at gṓz-ard lapdí růy ðēd „kiznāč“ тоже дикорастущая трава, но она растет преимущественно на межах и лугах	
klū́b	klub,kulub	kulū́b												клуб		(нов. )
kōčí	koči													название кушанья		
kōčṓr	kočor													вещь, изделие	mund áčaθ kōčṓr nist, wúz-um bē-kōčṓr у меня ничего нет, я неимущий; cōɣ̌ʒ qatī́r pȇx ancȇ́n-at, ar čī́z-aθ půstin kōčṓr шилом шьют сапоги и всякие меховые изделия	
kōfár	kofar,kofir	kōfír												неверный, неправоверный, немусульманин, поганый, кафир		
kōfír-bȇrʒ	kofir-bȇrʒ													дверная перекладина		ср. pȇrʒ
kōlā́	kola													мануфактура, ткань, материя		
kōmmūnīst	kommunist													коммунист	kōmmūnisti коммунистический	(нов. )
kōmsamṓl	komsamol													комсомолец; комсомол		(нов. )
kōr	kor													дело, работа, поступок	kṓri ǰi(h)ů́n мирская суета, тщета, мирские заботы; kōr čīdṓw работать, трудиться, делать дело, поступать; xu kṓr-at-mṓr fúkaθ tayṓr kinḗn кончают все свои дела; kōr patȇwdṓw бросать работу	
kōrgā́	korga													мастерская		
kōrgā́r	korgar													рабочий	kōrgarḗn-at dȇqůnḗn рабочие и крестьяне	
kōringí	koringi													дело, работа, обстоятельства, события, происшествие	xu kōringí náqii kin расскажи мне о своих делах	
kōrkún	korkun													работник		
kōsa-garðū́n	kosa-garðun													чаша гадания	mu x̌ī́ǰ-ēn cift xu kōsa-garðū́n-ti-m wi virū́d у меня украли быка, и я нашел его с помощью чаши гадания	(чтобы открыть чью-либо виновность, читают имена подозреваемых, считают, что при произнесении имени виновного чаша или то, что в нее положено, колеблется)
kṓšga	košga													если бы, как будто	yi lāv ōdamḗn nōxúš sēn xu, sēn as millōyḗni kīnā́ tamṓr-at tix̌tṓv zēn, kṓšga yu mis pī́nǰ důnā́ dṓð-ga wēv dā́rð-ard dawṓ sůd некоторые, когда заболевают, обращаются к старым муллам, берут ладонки и молитвы, — как будто это может хоть чуточку облегчить их болезнь	(выражает только желаемое, ср. nōg(in))
kōtā́	kota													возлюбленный, возлюбленная, любовник, любовница	kōtā́ sittṓw влюбиться	
kōtabṓz	kotaboz													любитель, любительница флирта	волокита; кокетка	
kōtabōzí	kotabozi,kotagari	kōtagarí												флирт		
kōwůn	kowun,kowunt			kōwůnt										ковырять	sȇx murd dāk, wuz xu ðindůn kōwůnum дай мне щепочку, я хочу поковырять в зубах	
kōz	koz													собачий корм	kōz čīdṓw задать корму собакам; kúd-ard-at kōz čūd? задал ли корму собакам?	
ku	ku													ну-ка, ну	ku dēð vō ar tu- vrā́ ну-ка, полезай опять в мешок; a ǰůn, čī́z-at ku qī́n-aθ? милый, что же ты печалишься?	
kū	ku													гора		
kučā́	kuča													улица	tar kučā́-yēn nax̌- tṓyd они вышли на улицу	
kūčrů́n	kučrun,kučirun	kūčirů́n												переселенец	kūčrůn sittṓw переселяться; lap Xuɣ̌nů́n mardúm ar Darwṓz kūčrůn sut много шугнанцев переселились в Дарваз	
kud	kud,kaden											kadḗn		собака, пес, кобель		
kūdák	kudak													ребенок, дитя	alifbȇ́ kūdakḗn ǰāt букварь для детей; di kūdák ɣiðā́, dam kūdák ɣac čis посмотри на этого маленького мальчика, маленькую девочку	
kūdak-bačā́	kudak-bača													мальчик		
kūdakí	kudaki													детство		
kūfů́n	kufun													горб		(верблюда, быка)
kůɣ̌ʒ	kuɣ̌ʒ													отверстие, дыра		
kūknṓr	kuknor													мак		
kůl-bīg	kul-big													горшок, глиняный кувшин		
kulčā́	kulča,kid		kid											небольшой сдобный хлебец, булочка, лепешка		
kulfát	kulfat													бедствие		
kulkí	kulki													семенной лук	mu kul-kiyḗn-ta ðu-ará mḗθ-ga firā́pēn мой семенной лук поспеет через 2—3 дня	
kúlli	kulli													весь, целиком, целый	mu bōb kúlli Rix̌ů́n-ard mālúm vud мой дед был известен во всем Рушане	
kům	kum													небо		
kůmák	kumak													помощь, поддержка	ba kůmáki yak-digár при взаимной поддержке; ba kůmáki wēv при их помощи	
kumáyt	kumayt													гнедой		
kůn	kun													руда, рудник, копи, прииски	kůni tillṓ золотые прииски; kůni nuqrā́ серебряные прииски	
kundā́	kunda													пень		
kunǰ	kunj													угол		
kūnṓk	kunok													понос, расстройство желудка	mu kūnṓk kix̌t у меня понос	
kūnparák	kunparak,kunparak	kunparák												ляганье обеими ногами, удар задом		(об осле)
kur	kur,kar		kar											карнаухий, мелкоухий, с мелкими неразвитыми ушами	kur miɣ̌ī́ǰ короткоухий баран; kar maɣ̌ короткоухая овца	(о животных, преимущественно о мелком рогатом скоте)
kůr	kur													слепой	tund tu-lů tu cēm kůr, xu tar-pirṓ na winí! точно у тебя глаза слепые, перед собой не видишь!	
ků́r-at kār	kur-at kar													ослепший от тоски, с иссохшими глазами	yā ɣāc digá kůr-at kār wi ɣiðā́ ǰāt sat та девушка все глаза ради него проплакала	(в сказках)
kūrā́	kura													горн кузнечный	wistṓð xu asbṓb-i ǰām čūd xu, bā́di as kūrā́-ra mis sipín ziwōst кузнец собрал свои инструменты, потом вынул из горна железо	
kūrā́ čīdṓw	kura čidow													вычеркивать, зачеркивать		
kurc	kurc,karc		karc											яма, отверстие, впадина	глубокий, углубленный	
kurcí	kurci,karci		karcí											глубина, углубление		
kurcṓ-buqí	kurco-buqi													неровности, шероховатости; превратности	kurcṓ-buqíyi tilfí превратности детства	
kůrcúp	kurcup													чаща леса, густые заросли	mu x̌itúr ar di kůrcúp dēd xu ɣal na nax̌tī́zd мой верблюд забрался в эту чащу и до сих пор не выходит	
kurð	kurð													участок огорода	mā́š-ām asī́d amagí yi kúrðaθ piyṓz wḗðǰat, digá zar-dák-at kartuškā́ в этом году мы засеяли луком всего один участок огорода, а остальное морковью и картошкой	(четырехугольник с приподнятыми краями)
kůrnamák	kurnamak													неблагодарный		
kurpačā́	kurpača													тюфяк, матрасик		(узкий)
kurrá	kurra,kura	kurá												жеребенок	mund mu kurā́ ɣal nōdṓr, ɣal sawōrí na bōft мой жеребенок еще слишком молод, его нельзя пускать под верх	
kurtā́	kurta													рубашка		
kurtí	kurti													куртка, тужурка		
kurúk	kuruk,kruk	krúk												курица, переставшая нести яйца		
kūsā́	kusa													безбородый, безусый, без растительности на лице		
kuščák	kuščak													небольшой глиняный кувшин, горшок		
kut	kut,kat		kat											короткий	kutdí короче; kúttaθ вкратце, короче говоря; mund kúttaθ mu maqsád yast yik-ám... короче говоря, моя цель состоит в том...; kut čīdṓw сокращать, укорачивать; рубить, срубить, нарубить; wuz xu žīz kut kinúm я нарублю себе дров; xu ar-ár-um kut čūd я срубил свой тополь; ů virṓd, ya, mi půnd kútām (<kut kinām) давай, брат, сократим эту дорогу	
kutā́l	kutal													перевал, горный проход	kutā́l čīdṓw тащить, тянуть; приводить, вести за веревку, за узду	
kutí	kuti,kati		katí											ширина, поперечник	mu čī́d-and wi kutí cavṓr qilṓč, atā́ wi darōzí xōɣ̌ qilṓč мой дом в ширину четыре маха, а в длину шесть; mu zidů́n-and wam katí ðu qilṓč моя кладовая в ширину два маха; barmā́y as sabábi xu darōzȇ́-t, ɣafcȇ́-t, kutí ar xēl yast сверла по своей длине, толщине и ширине бывают самые различные	
kūvā́	kuva													колотушка, которой ударяют по лучку для разборки шерсти		
kux-kux	kux-kux													кряхтенье	kux-kux čīdṓw кряхтеть	
kux̌čivī́r	kuxčivir													мелкий горный кустарник с белыми цветами		
kūx̌íx̌	kuxix													старание	kūx̌íx̌ čīdṓw стараться	
kūyí	kuyi													горный		
kūyistů́n	kuyistun													горная страна, горы		
kūyistůní	kuyistuni													горный; горный житель		
kūz	kuz													сгорбленный, дряхлый		
kuzā́	kuza													глиняный кувшин		
kuzičák	kuzičak													небольшой кувшин		"(поменьше, чем ""kuzā"", и побольше, чем ""kuščak"")"
la	la													незначащая частица, употребляемая в стихах для размера и ритма		
lab	lab													губа	láb-at lunǰ kix̌lā́ повесил нос (как в воду опущенный)	только в поэзии и в сочетаниях
lábbay	labbay,labay	lábay												что угодно? что прикажете?		
lablabů́n	lablabun,lablabun	lablabū́n												свекла		
lāfč	lafč													губа 	yu bad-lāfč ōdám человек с некрасивыми губами; šar-ðī́ʒ lāfčḗn ягодицы	(у животных, о людях грубовато)
lafkā́	lafka													лавка, магазин, кооператив	wúz-um az lafkā́-ndīr kōlā́ xarī́d čūd я купил в магазине мануфактуру	ж.
lafkačí	lafkači													лавочник		
lagán	lagan													поднос, блюдо		
laɣ̌ʒā́	laɣ̌ʒa													дрожь, лихорадка	laɣ̌ʒā́ čīdṓw дрожать; yik-dů́nd-um x̌icṓðǰ didi, laɣ̌ʒā́ kinúm я так промерз, что дрожу; laɣ̌ʒā́ anǰīvdṓw заболеть лихорадкой, лихорадить; mú-yi tōbistů́n ðu pīð laɣ̌ʒā́ anǰū́vd летом у меня два раза были приступы лихорадки; az dásti ǰafṓ vō laɣ̌ʒā́ či anǰī́vd mu от недоедания меня опять начинает лихорадить	
laɣ̌ʒák	laɣ̌ʒak													злой дух, кошмар	mú-yi laɣ̌ʒák pāxč čūd меня мучил (давил) кошмар	ж.
laɣ̌ʒḗn	laɣ̌ʒen,laɣ̌ʒent			laɣ̌ʒḗnt										трясти, заставлять дрожать	ɣ̌ōl laɣ̌ʒēntṓw звонить (в колокольчик)	
lahōzakí	lahozaki,laozaki,luhozaki,luozaki,lozaki	laōzakí, luhōzakí, luōzaki, lōzakí												беременная	falůní-nd wi ɣ̌in la(h)-ōzakí sic его жена забеременела	
lāǰā́	laja													говор, наречие, речь, произношение		
laǰů́m	lajum													узда, поводья		
laǰů́m-takyā́	lajum-takya													медленно, спокойно, вяло, лениво, спустя рукава	laǰům-takyā́ xu kōr māk не работай, спустя рукава; xu vōrǰ laǰům-takyā́ kin опусти поводья своей лошади	
lāk	lak,la	lā												оставление, допущение	только в сложении lā(k) čīdṓw оставлять, допускать, позволять; áčaθ-ēn taškīlṓt-at ittifṓq na lāk čūd вовсе не допускали ни организаций, ни союзов (в наст. вр. спрягается как dā(k) čīdṓw, см. )	
lāk	lak													пусть, пускай	á-rō, tu di lāk, yid xúbaθ lāk tar xu nān xēz sůd ну, оставь его, пусть он сам идет к своей матери; bačgalā́ ca yádēn, lāk maɣ̌ʒů́nǰ mā risḗn когда придут дети, пусть они не останутся голодными	
lakák	lakak													мизинец		
lāl	lal													рубин		
lalāík	lalaik													колыбельная песня		
lālm	lalm													неполивные поля, богара, посевы под дождь	mund mu lā́lm-ti asī́d bašā́nd kax̌t na sut в этом году на моих посевах под дождь не вышло хорошего урожая	
lālmí	lalmi													неполивной, относящийся к неполивным полям	mu lālmí zimcḗn-ēn parwṓs bašā́nd kax̌t murd na ðṓd в прошлом году неполивные земли не дали мне хорошего урожаю	
lampā́	lampa													лампа		
lānát	lanat													проклятие	lanát čīdṓw проклинать; xuðṓy tu lānát kix̌t! пусть бог проклянет тебя!	
landaū́r	landaur													богатырь, исполин, силач	yid ōdám nay atā́, landaū́r это не человек, а исполин; yu yik- důnd zūr didi, sōf landaū́r! он такой силач, настоящий богатырь!	
Langar	Langar													Лянгар		(назв. многих селений)
lap	lap													очень, много, весьма	lapdí больше; lap lápaθ очень и очень, весьма, в высшей степени; lap lápaθ bašā́nd в высшей степени хорошо	
lapí	lapi													множество, обилие, большое количество	as lapíyi žiníǰ от обилия снега	(uvula)
lāq	laq													старые, ветхие штаны	wēv pi-tanā́ na rēðǰ lāq на них не осталось даже старых штанов (т. е. лохмотьев); lā́q-at pā́q обноски, лохмотья; xu lā́q-at pā́q daráw ancī́vd sēn принимаются зашивать свои лохмотья; kampī́r xu lāqḗn tax ðōd; ar waxt lap xax̌ abridáx kix̌t xu, dað xax̌-xax̌ tundúr ca ðēd, ik-dis lů́vēn старуха вытряхнула свои штаны; так говорят, когда соберутся тучи и грянет сильный гром	
laqīʒák	laqiʒak													язычок		
lāš	laš													чижик		(детская игра)
lašák	lašak													рожь		
latōfát	latofat													нежность, приятность		
lāv	lav													берег, край	daryṓ-lā́v берег реки, моря	только в сложении
lavʒ	lavʒ													слово, речь, язык		
lawā́k	lawak													отделка, разравнивание штукатурки; полирование, облицовка	lawā́k čīdṓw полировать, облицовывать; lawā́k-bū́rǰ плоский камень для разглаживания штукатурки	
lawánd	lawand													ленивый, бездельник	mund yi lawánd vōrǰ ca, žȇx̌tṓw-aθ mis wird na fōrt у меня такая ленивая лошадь, что совсем не хочет бежать; yu šúmi lawánd ōdám, kōr čīd wird padarkúx̌ он такой ленивый бездельник, что работа ему — как смерть отца	
lax	lax													очередь, передача друг другу ложки во время еды из общей чаши	ōš yō xux̌pā́ ca furḗn, dað čib tar yak digár lax wḗðēn когда едят лапшу или похлебку, то передают друг другу ложку; lax tar mu yat, tar mu mis lax wēð! теперь моя очередь, передай мне ложку!	
lax	lax,laxt,laxt,laxč,laxtow			laxt			laxt	laxč			laxtṓw			стучать		
Lax-a-lax	Lax-a-lax,Lax-lax	Lax-lax												постукивание, поколачивание	lax-(a)-lax čīdṓw постукивать, поколачивать	
laxák	laxak													погремушка		(для отпугивания птиц от посевов проса)
laxák	laxak													деревянный регулятор падения зерна из мельничной корзины на жернов		
lay	lay													куча	yu žindám lay qōq sut та куча пшеницы высохла; mōl láy-i xūd скот поел (зерно) из кучи; lay ðȇdṓw складывать в кучу; mā́š-ām žīr lay ðōd мы сложили камни в кучу; ɣ̌inikḗn-ēn pi kicṓr xu lay ðōðǰ женщины собрались в кучу вокруг очага	(то, что собрано, сложено в кучу)
lāy-lāy	lay-lay													баю-баю		
laylí	layli													возлюбленная, милая		(поэтич.)
lēf	lef													одеяльце, небольшое одеяло	dam lēfák dam lēf darū́n ðāð xu di bīrḗǰ ǰām kin заверни это маленькое одеяло в большое и собери постель	
lēlg	lelg													помои		
lēlgṓv	lelgov													мутный, непрозрачный	x̌acḗn-ēn ik-důnd lēlgṓv sic didi... вода стала такой мутной, что...	 (о жидкостях)
lēmṓl	lemol													головной платок (шелковый, сатиновый и т. п., фабричной работы)	tī́t-at lēmṓl головные платки (простой местный и фабричный)	ж.
lēmōlák	lemolak													полотенце, носовой платок		ж.
lȇq	lȇq													старое рваное одеяло; лохмотья, ветошь	kurtā́ lȇq gāx̌t платье истрепалось; ср. lāq	
lȇr	lȇr													подставка для книг		
līl	lil													платье	yu ɣiðā́ x̌ác-i murd ɣ̌īpt, mu līlḗn-ēn wāzā́n sat тот парень забрызгал меня водой, и мое платье промокло	
līng	ling													голень, нога от колена до щиколотки	qōq-līng нога от щиколотки до икры	
līng-at lax	ling-at lax													ковыляя, прихрамывая	"sůg-lů́vd di ar waxt tayṓr sut, dað lů́vēn: ""šaták markā́b-ēn murd ðōd, lī́ng- at lax, līng-at lax, —firī́pt-um"" когда рассказывание сказки окончено, тогда говорят: ""мне дали хроменького осла, и, ковыляя да прихрамывая, я доехал"""	(в концовке сказки)
lingí	lingi													поясная или головная повязка		
lišm	lišm													скользкий, гладкое, скользкое место (для человека недоступное)	ǰundōrḗn-ēn dēd ar wi lišm горные козлы взобрались на скользкие скалы	
lix̌kár	lixkar													армия, войско, отряд		
lix̌karí	lixkari													военная служба	wúz-um tar lix̌karí dēd я поступил на военную службу; mu virṓd tar lix̌karí vud мой брат был на военной службе	
lix̌ṓ	lixo													челюсть		
lōf ðȇdṓw	lof ðȇdow													чваниться, кичиться, хвастаться	yu yik-dů́nd lōf tú-ti ðīd yidi! он так чванится перед тобою; wuz yik-dí kṓr-ti áčaθ lōf na ðām этим я не могу похвастаться	
lōɣ	loɣ													шутка	lōɣ čīdṓw шутить; a rō, wuz tu qatī́r lōɣ (= mazṓq) na kinúm слушай, я с тобой не шучу	
lōɣbōzí	loɣbozi													забавы, шутки		
lōǰwár	lojwar													ляпис-лазурь		
lōk	lok													сургуч		
lōlā́	lola													красный, раскаленный докрасна	wistṓð as kūrā́-ra di sipín ca ziwṓščat ik-dů́nd lōlā́ vud didi, dalī́laθ nay когда кузнец вынул из горна это железо, оно было так раскалено, что мочи нет	
Lōlā́	Lola													имя девочки		
lōlík	lolik													милочка		(ласково-фамильярное обращение к девочке)
lōq	loq													худой, тощий	lōq sittṓw похудеть, отощать; mṓl-at sitůr as bēwůx̌í lōq suðǰ скот от бескормицы отощал	
lōšā́	loša													худой, тощий, изнуренный		
lōsipū́r	losipur													бестолковый, неумелый, неспособный		
lōtīní	lotini													латинский		(нов.)
lōy	loy													глина, грязь		
lōyṓv	loyov													мутный, илистый поток		
lōzar	lozar													ледник		
lōzum	lozum													нужно, необходимо		
lōzumí	lozumi													женские штаны		"(""необходимое"" — изысканное выражение)"
lubṓs	lubos													одежда, платье	lubṓsi pōtx̌ōyůnā́ царские одежды, пышные одежды	только в сочетании
luč	luč													голый	pō-lúč босой, босоногий	только в сочетании
lufčák	lufčak													головешка, головня, обгорелое полено		
luk	luk													засов, болт для деревянного дверного замка	lúk-at par-ðḗnc дверной замок (с засовом)	
luk	luk													сорт рисовой крупы	"birínǰ-and ðiyů́n nům:... luk ik-a didi, yā katā́-t ɣāfc rāng у рисовой крупы два названия.... ""luk"" — это тот сорт, который крупнее и толще"	
luk sittṓw	luk sittow													заболеть особой детской болезнью		
lūlí	luli													цыган,забавник, шутник	lūlí-zán болтливая, разговорчивая	
lum-lum	lum-lum													плавно, спокойно, тихо	čibůdḗn-ēn lum-lúm-ti mu tar-kā́l naɣ̌ǰā́d голуби тихо пролетели надо мной; murɣōví lum-lum wōzd утка плывет спокойно (не делая видимых движений)	
lunǰ	lunj,lanjen											lanǰḗn		щека		
luqmáyi xům	luqmayi xum													сырой, неприготовленный, несваренный кусок		(в обычном сказочном сочетании)
luqṓb	luqob													оболочка, покрывало, личина	sůgḗn-and ik-dis lů́vēn didi, ðḗw-at ǰin mudů́m luqṓb darū́n; luqṓb piníʒi mis ar-rā́ng-aθ yast, luqṓb ar-gůn ca piníʒi yi yōr tu na wzēnt didi, tu-t kud yō ōdám в сказках говорят, что дивы и джины всегда под личиной кого-нибудь; личины бывают разнообразные, и если надеть личину, то никто не узнает — это собака или человек	
lutf	lutf													благосклонность, благорасположение, благость, милость		(поэтич.)
lův	luv,luvd,lud,luvj,luvdow			lůvd, сокр. lůd			lůvd, сокр. lůd	lůvǰ			lůvdṓw			говорить, петь, называть	1 ед. lůvum, сокр. lům; 2 ед. lůvi, сокр. lů; пов. lův, сокр. lů	
lůvīǰ	luvij													говорящий	sůg-lůvī́ǰ сказочник	
ma	ma													на! возьми! вот!	мн. mēt нате!	
maalā́	maala,malla,mala	māllā́, mālā́												помещение, жилище	falůní yaθč yů́dand xu, maalā́-yi ɣal xurd na virū́ɣ̌ǰ x̌ȇvdṓw-ard он сюда приехал и здесь еще не нашел себе места остановиться	
madaniyát	madaniyat,madaniyat	madanīyát												культура, благоустройство		(нов. )
maðṓr	maðor													полдень	xīr maðṓr sut наступил полдень	
maðṓr-zṓx̌t	maðor-zoxt													полдник	обед; a- bačgalā́, sēt, xu maðṓr-zōx̌tḗn vēt xu, qatȇ́θ xā́rām идите, ребята, несите свои обеды (полдники). будем есть вместе	
mágam	magam													нужно, должно, следует	mágam mu qatī́r sā́wi тебе следует пойти со мной; yú-ta wi kōr na vā́r-ðēd, mágam māš mis sā́-wam он не справится с тем делом, нам тоже нужно пойти	
maɣ̌	maɣ̌													овца		
maɣríb	maɣrib													запад		
maɣʒí	maɣʒi													мозговая кость		
maɣ̌ʒů́nǰ	maɣ̌ʒunj,maɣ̌ʒenʒ		maɣ̌ʒḗnʒ											голодный		
maɣ̌ʒůnǰgí	maɣ̌ʒunjgi													голод		
mahā́l	mahal,maal	maā́l												время, некоторое время	čand waqt ma(h)ā́l, čand rūz čand ma(h)ā́l некоторое время; falůní čand waqt ma(h)ā́l yůdand nūst xu, dað tūyd он некоторое время пробыл здесь, потом ушел	только в сочетаниях
maǰbū́r	majbur													принужденный, вынужденный	maǰbū́r čīdṓw принуждать, заставлять	(нов. )
maǰbūrí	majburi													принудительный, обязательный		(нов. )
maǰlís	majlis													собрание, заседание		
maǰnū́n bēd	majnun bed,majnun wed	maǰnū́n wēd												плакучая ива		
mákri	makri													хитрость		
makridṓr	makridor													хитрец		
maktáb	maktab													школа		
maktabbačā́	maktabbača													школьник		
maktabxůnā́	maktabxuna													училище, школа		
makůn	makun													место(жительство)		
maláx	malax													саранча	gā waxt ik-dů́nd lap maláx yast didi, tu tar-kā́l ca naɣ̌ǰī́st, xīr pīc anǰī́vd иногда столько бывает саранчи, что если пролетит над тобой, то солнце закроет	
manōzirā́	manozira													спор, диспут, дискуссия		
manqū́f	manquf													запрещенный, воспрещенный; прекращенный	manqū́f čīdṓw воспретить, запретить; прекратить; manqū́f sittṓw быть воспрещенным; ar ǰingā́l sittṓw at žīz xurd mīzdṓw-ēn manqū́f čūɣ̌ǰ ходить в лес и брать там себе дрова воспрещено	
mansáb	mansab													должность, чин		
mansabdṓr	mansabdor													должностной	mansabdṓr ōdám должностное лицо	
manyṓr	manyor													туман, пар над поверхностью воды зимой	nur lap šitṓ! pis daryṓ-θ ik-dů́nd manyṓr didi! сегодня очень холодно! такой туман над рекой!	
maqsád	maqsad													цель, намерение, желание	ba maqsád firīptṓw достигнуть цели	
mar	mar,mud,mod,mod,mirt,muɣ̌j,miɣ̌ʒ,moɣ̌j			mūd	mōd	mōd	mīrt	mūɣ̌ǰ	mīɣ̌ʒ	mōɣ̌ǰ				умирать		
marāmát čīdṓw	maramat čidow													сделать милость, оказать одолжение	marāmát na kiní-yō? не окажешь милости (откушать)?	(в формулах угощения и приглашения)
marā́t	marat													приглашение	marā́t čīdṓw приглашать; wúz-um ɣámi tu marā́t nist я не домогаюсь твоих приглашений; marā́t-i wi ču он пригласил его (к обеду)	
maráz	maraz													сифилис		(= bṓð-maráz)
