rus	shughni	bajuv	shakhdari	barvaz	gender	comment	collocation_rus
пятимесячный	пӣнʒмêстӣнj						
пятирублевка	пӣнʒ-сẙмā				м		
пятирублевый	пӣнʒ-сẙмā						
пятиструнный	пӣнʒ-торā						
пятиться	зибокоwаки ч. (кин)						
пятка	пêрнак				м		
пятна	мангасак м, мêст-jẙмч						
пятнадцатый	понʒдайум						
пятнадцать	понʒдā						
пятница	jумā				м/ж		
пятничный	jумаги						
пятнышки	мангасак, холхолак, бузмā						
пятнышки	мангасак, хол-холак, бузмā						
пятнышко	хол				м		
пятый	пӣнʒум, панjум						
пять	пӣнʒ, панj						
пятьдесят	панjо, пӣнʒ-ðӣс						
пятьсот	панjсад						
раб	ɣулẙм, бандā				м/ж		
рабовладелец	ɣулẙмдор						
рабовладение	ɣулẙмдори				м		
работник	коркун, коргар, ходим						
работяга	хизматгор, хизматгāр						
рабочий	коргар, маздӯр						
рабство	ɣулẙми, бандаги				м		
рабыня	каниʒак				ж		
равенство	баробари				м		
равная половина	баробар						
равнинный	тāдаx̌ти						
равнодушно	бепарwо						
равномерно	тирози						
равномерный	тирози						
равный	тирози, баробар, амто						
равнять	сāров (/баробар) ч. (кин)						
равняться	саров (/баробар) с. (сāw)						
радикулит	мӣðдāрð				м		
радостно	ба-хуши-аθ, чоq-аθ						
радостный	дилхуш, чоq, jазм, шод, (рӯ)тарабо						
радующий	дилнаwоз						
раз	дāфā, тов(га), пӣð(āк), бор(ā), гарðӯн						
разбазаривать	хāр: хӯд, парвен: парвент						
разбег	майтак, газзā				м		
разбивание	x̌ичêфиʒ				м		
разбиратель жалобы	доððāðӣj						
разбитый	вируx̌чин, ɣабирз						
разбогатевший	мисри, таwẙно						
разбой на большой дороге	рāзани				м		
разбойник	рāзан						
разбойники	дузд-ат аламẙн						
разбойничать	рāзани ч. (кин)						
разбрасывание навоза	пирjӣн	парjӣн					
разброд	хеj-wеjак, гад-wад				м		
разбросанный	тихӣрм(инеʒак), тӣт(-тӣтак), хасовā, ситирӯн						
разбрызганный	ɣ̌ӣфчак	ɣ̌ӣбчак					
разбрызгиваться	аррāз:арруx̌т						
разбухший	амẙмā, wарам						
разваленный	салот, петẙн, бедийā						
развалившийся	wерẙн, ситупиту						
развалина	x̌иллагā(н)				м		
развалины	wерẙнā, x̌иллā, чӯл, харобазор						
развалясь	шипит-аθ; пêхчин						
разваренный	тӣвʒ-тӣвʒак, пêх¬чин						
развариваться	тӣвʒ-тӣвʒак с. (сāw)						
развеивать	хеj-wеjак ч. (кин)						
развеиваться	хеj-wеjак с. (сāw)						
развесистый	хêx̌-пардор, кишин						
разветвленный	хêx̌-пардор						
развеяться	бар-боð с. (сāw)						
развивать	тараqqӣ (/инкишоф) ð. (ðāð)						
развиваться	тараqqӣ ч. (кин), wол: wолт						
развилина	чаqак						
развитый	тараqqи-чӯɣ̌j(ин)						
развод	талоq, сар ð. (ðāð)						
разводящийся	сāр-ðāðӣj						
разворачиваться	гāрð: гāx̌т, пāли гāx̌тоw						
развратница	канчани						
развратничать	бадахлоqи ч. (кин)						
развратный	бадахлоq, фосиq						
развьючивать	wӣз хамбентоw						
развязанный	халос						
развязывать	халос ч. (кин)						
разгадка	рамʒ				м		
разгадывать	рамʒ wеðдоw						
разглагольствование	пурфитӯри, паɣнā				м		
разглагольствующий	пурфитӯр, лаqаси						
разглашать	оx̌кор ч. (кин)						
разглядывать	фӣл-фӣл чӣx̌тоw						
разговаривая	бӣлбӣл(ик)						
разговорчивый	сер-гāп, гапдẙн, x̌аx̌wел						
разговоры	гāп-гāп, кал-кал						
разгораться	wилунгā ч. (кин)						
разгоряченный	маст(ẙнā)						
разграбление	ɣорат, wулjā						
разгружать	wӣз хамбентоw						
разгуливать	сайли ч. (кин)						
раздавить	qӣч-ти нӣстоw						
раздавленный	леjак, зикчак						
раздавливать	шимāй (/леjак) ч. (кин)						
раздавливаться	шимāй с. (сāw)						
раздатчик	аθêрӣj						
раздваиваться	чирêq						
раздвоенный	чирêq(и)						
раздел	qисм, палла-бāx̌						
разделение	таqсӣм(от)				м		~земли аwлод-бāx̌
разделывание	на куски тепцак-бāx̌						
раздельный	jидо						
разделять	таксӣм ч. (кин)						
раздетый	x̌ӣрẙʒ(ак), шилак						
раздирать	силанjак ч. (кин)						
раздобыть	ави: авӯд, вири: вирӯд						
раздражать	qāр сифентоw						
раздражение	хафаги				м		
раздражительный	бадqāр						
раздробленный	тӣт-ат тор						
раздувание огня	дāмиʒ						
раздумье	фикр-ат пикр/хайол, андеx̌ā, сêqил						
разжиженный	лелгов						
разинутый	шитêq						
разлад	хеj-wеjак, гад-wад				м		
разлаживать	гад-wад ч. (кин)						
разлаживаться	гад-wад с. (сāw)						
разлитый	ɣ̌ӣпчак	ɣ̌ӣфчак					
различать	фарq ч. (кин)						
различающийся	фарqдор/нок						
различие	фарq, тафоwӯт						
разложенный	оростā						
разломанный	калтак, ɣиравjā						
разлука	зинда-jидоги, фироq				м		
разлучать	тоqā (/зиндаjидо) ч. (кин)						
разлученный	зиндаjидо						
размахивание	амла-кори				м		
размахиваться	бирнêɣ̌: бирнêɣ̌д	барнêɣ̌: барнêɣ̌д					
размачиваться	нижир:нижирт						
размачивающий	ажêрӣj						
размашистый шаг	газзā						
размельчать	резā (/рибуx̌ч, хамāк) ч. (кин)						
размельчение	кафмол				м		
размельченный	тӣт-ат тор, тӣвʒ-тӣвʒак, ɣирамбā						
размен	майда-чӣд						
разменивать	майдā ч. (кин)						
размер	доð, сил				м		
размешивание	wишwол				м		
размещать	бар-jой ч. (кин)						
размещаться	бар-jой с. (сāw)						
разминать	бамурч ч. (кин)						
разминка	зӯр-гӣри				м		
размножаться	wуɣ ð. (ðи)						
размывать	мӯри ч. (кин)						
размышления	фикр-ат хайол						
размягчаться	нāрм (/āл, шилӣг) с. (сāw)						
размягчение	āл						
разнимать	сирêw: сирêwд, сируд						
разница	фарq, тафоwӯт						
разное	азор-та(h)о						
разнородные	буq-ат билӣнг						
разнородный	ар-хелā, аргӯнā						
разносторонний	аматарафā						
разноцветный	чӯɣ̌-мил-jӯɣ̌	чуw-мил-jуw, кенуx̌к					
разные	буq-ат билӣнг						
разоблачать	рафӯт ð. (ðāð)						
разобщенный	цуq-пи-цуq						
разогревание	каш-чӣд						
разогревать	каш(-каш) ч. (кин)						
разодетый	шай						
разок	йи пӣð, йак бори хуðой						
разорванное место	wирẙйj						
разорванный	цуɣ-ðоðjин, тук-тукак, цӣw-цӣwак, чоq(-чоqак), чоq-ðоðjин						
разорвать	тук-тукак (/цуɣ-цуɣак) ч. (кин)						
разорение	бетабо, хароби				м		
разоренный	wерẙн, дармẙнтā, хароб, бе-w(ил)êх, обнифироw						
разорившийся	муфлис, нотиwẙн						
разостланный	рост, алɣуз						
разочарование	дилхунуки м, шиттозорð						
разочаровать	дилхунук ч. (кин)						
разочароваться	зорð вириx̌тоw						
разочаровывать	номеð ч. (кин)						
разрастание	дāw						
разрастаться	даwẙн: даwẙнт, дāw хӣдоw (хāр)						
разрез	чоq				м		
разрезанный	чоq-ðоðjин, чоqчоqак						
разрезать	wиреx̌: wиреx̌т, тепцак-бāx̌ ч. (кин)						
разрезаться	wиреx̌чак с. (сāw)						
разрешаться	āл с. (сāw)						
разрешение	рухсат, иjозат(-ðêд)						
разрешенный	āл-чӯɣ̌jин						
разрозненность	чāчи				м		
разрозненный	цуq-пи-цуq, хароб, чāч						
разруха	wерẙнги, хароби				м		
разрушитель	wерẙнкор						
разрыв	чоq, цуɣ-ðêд						
разрывание	цуɣ-ðêдак						
разувериться	гāрð:гāx̌т						
разузнавать	цêп: цêпт, фарцêп: фарцêпт						
разукрашенный	гулдор						
разуметь	фāм:фāмт						
разумность	wуx̌йор(гар)и/ги				м		
разумный	аqлидор, бааqл, wуx̌йор, оqил, хирадманд						
разъедать	силанjак ч. (кин)						
разъединять	тоqā ч. (кин)						
разъяснение	фāмẙниʒ, шари				м		
разыгрывание	гẙла-гӣри ч. (кин)						
разыскивание	тилāбӣjак						
разыскивающий	сироqгāр						
рай	бийӣx̌т				м		
райский	бийӣx̌ти						
рак	боð м, харчанг						
раковина	садāф				ж		
рама	кисак				м		
рамка	шероwеʒ						
рана	зāр, сан(г)кẙв				м		
рана	мāрɣак, зāхм(ак)				ж		
раненый	захм(дор), реx̌(и)						
ранний	барwахт, суббадам						
раным рано	пиго-йаθ						
раскаивающийся	(пи)x̌емẙн						
раскаленный	каш, доɣ, лолагӯн						
раскалывание	x̌ичêфиʒ				м		
раскаляться	сухтā с. (сāw)						
раскапывать	чāн: чӣнт, барам ч. (кин)						
раскармливать	фарби (/симиз) ч. (кин)						
раскармливаться	фарби (/симиз) с. сāw						
раскачивать	чӣнг-чӣнгак ч. (кин), лаqен: лаqент						
раскачиваться	лаq:лаqт						
раскачиваясь	лаqẙн-лаqẙн						
раскидистый	кишин						
раскинутый	оростā, чапāр						
раскладывание	чêкиʒ				м		
расколотый	пирêɣ, пāɣ, ɣабирзов						
раскосость	чиqири				м		
раскошеливаться	даст ба камар ч. (кин)						
раскройка	jẙма-бурẙн						
раскрошенный	тӣт-тӣтак						
раскрывать	тарабо ч. (кин)						
распаривать	дāм ð. (ðāð)						
распарывать	wирẙʒ: wирӯйд, wиреx̌: wиреx̌т						
распарываться	wирӣwс: wирӯйд, wиреx̌чак с. (сāw)						
распиливать	аррā ð. (ðāð)						
распирать	дар-ат бẙм с. (сāw)						
расписание	jадwал				ж		
расписка	дастхат				м/ж		
расписной	наx̌qдор						
расписывать	сифат(/ситоwаx̌) ч. (кин)						
расписываться	дастхат ч. (кин)						
расплавленный	сухтā						
расплавляться	об с. (сāw)						
расплачиваться	тоwẙн (/аq) ð. (ðāð)						
расплетать	wирẙʒ:wирӯйд						
расплетаться	wирӣwс: wирӯйд м, wиройд ж						
расплющивать	шимāй ч. (кин)						
расплющиваться	шимāй с. (сāw)						
распознавать	фирцêп:фирцêпт						
располагать	харрā ч. (кин)						
располагаться	бар-jой с. (сāw)						
расположение	гурм м, чурти						
расположенный	харрā, мойӣл						~ вниз тагов
распоротое	место wи-рӯйj				м		
распорядитель на свадьбе	асаwул						
распорядок	тартӣбот м, интизẙм						
распределение	таqсӣм(от) м, табаɣи-ðêд						
распределитель	бāx̌-кинӣj, дек-салол, табаɣи-ðāðӣj						
распределять	бāx̌ (/таqсӣм) ч. (кин)						
распределяться	таqсӣм с. (сāw)						
распространение	x̌икуфтā, дāw, оɣоз						
распространять	тихӣрм ч. (кин)						
распутица	тарма-тари				м		
распутница	тарма-тари				м		
распутница	jалаб						
распутный	фосиq						
распутство	jалабгари, фосиqи				м		
распутье	чорбӯнд						
распухший	wарам, ш. биɣ̌еðjин	биwеðjин					
распущенность	бепадари, бехинӯри				м		
распущенный	бепадар, бенухтā						
распялка	сêхак				м		
рассветать	риx̌нойги ч. (кин)						
рассеивание	x̌икуфā				м		
рассеиваться	пирешẙн с. (сāw), пиреш хӣдоw						
рассекать	пирêɣ ð. (ðāð)						
рассеяние	x̌икуфā						
рассеянно	биʒуq						
рассеянность	гаранги				м		
рассеянность	wархато				м		
рассказчик	наqлигāр, qисса-лẙвj, сẙг-wизẙнӣj, сухан-кинӣj, суханпардоз						
рассказывание сказок	сẙглẙвд						
расслабленнный	пул-хӯт(ак)						
расслабленность	сустеʒ				м		
расслабляться	суст (/кануф) с. (сāw)						
расследование	босхос, тафтӣш(от)				м		
расследовать	босхос (/тафтӣш) ч. (кин)						
рассматриваться	шӣнчак (/чӯx̌ч) с. (сāw)						
рассмотрение	босхос, тафтӣш				м		
рассол	намаков				м		
расспрашивание	пурсипос, саwолкори				м		
расспрашивающий	сироqгāр						
рассредоточенный	тихӣрмеʒак						
рассредоточивать	тора-wорā ч. (кин)						
рассредоточиваться	тихӣрм с. (саш)						
расставание	фироq						
расставлять	силки тāк нêðдоw						
расстеленный	рост						
расстеленный	оростā						
расстилать	wеð: wеðд, рост ч. (кин)						
расстояние	масофā/ат				м		
расстроенный	сарɣалтẙн						
расстроенный	талх-ат мор, пирешẙн						
рассудительный	аqлидор, бааqл, ба-фāм, фāмчоз						
рассуждение	каwсар м, масẙма						
рассчитывать	умеð ч. (кин)						
рассыльный	хāт-йосӣj(ак)						
рассыпчатый	θӣпчак						
растапливать	доɣ (/об) ч. (кин)						
растворение	āл						
растворять	āл ч. (кин)						
растеленный	рост						
растерявшийся	ойи-айрẙн, ду-дилā, сарɣалтẙн						
растерянный	гаранг, маθ, пирешẙн						
растирание	кафмол, сêwиʒ						
растительность	наботот				м		
растопка	боðӣн(г), боðӣнак, пурx̌и				м		
растопленный	доɣ(чӯɣ̌jин), сухтā						
растоплять	сухтā ч. (кин)						
растоптанный	зикчак, ш. тж. ниx̌пӯɣ̌jак						
растопыренный	цихрêw, дучахêр						
растопырив ноги	чахāр						
растопыривать	дучахêр ч. (кин)						
расторгать	брак талоq ð. (ðāð)						
расторжение брака	талоq-ðêд						
расторопный	чолок, чарс, тāпц						
расточитель	талаф-ðāðӣj						
расточительность	бепадари				м		
расточительствовать	бепадари ч. (кин)						
растратчик	талаф-ðāðӣj						
растрачиваться	талаф с. (сāw)						
растрепанный	цих (рêw)						
растрепываться	цих с. (сāw)						
растрескивать	чирêq ч. (кин)						
растрескиваться	чирêq с. (сāw)						
растягивать	x̌айсен:x̌айсент						
растягиваться	x̌айс: x̌айст, ху дāм гарðентоw						
растяпа	махоw; (перен. ) хӣj/жоw						
расхаживать	даqсуq ð. (ðи)						
расхваливать	таwсӣф (/сифат, ситоwаx̌) ч. (кин)						
расхититель	дузд, тороj-кун, кинӣj, тороjгāр						
расхищать	тороj (/wулjā) ч. (кин)						
расхищение	wулjā, ɣорат				м		
расхлябанный	палхӯтā, палпӯта(к)						
расходы	харч, хароjот						
расхождение	фарq				м		
расцвет	тараqqийот				м		
расчесанный	wиx̌уx̌чак						
расческа	(кāл)wиx̌ӯɣ̌j						
расчет	(h)исоб; (перен. ) умеð, соqит						
расчетливая	(хозяйка) кахой				ж		
расчеты	исоб-чӣд						
расшвыривать	халманʒев ч. (кин)						
расшибать	бийẙʒ:бийẙʒд						
расширять	x̌айсен:x̌айсент						
расширяться	x̌айс: x̌айст, фирох с. (сāw)						
расшитый	кемуx̌к						
расщедриваться	даст ба камар ч. (кин)						
расщелина	диɣ̌вāj, камар						
расщеплять	x̌ипирêʒ: x̌ипирӯйд, wиðẙʒ: wиðӯйд						
рафида	рафӣдā						
рахит	мурðā-(о)сеп				м		
рванье	лêq ж, луq м						
рвение	шаст						
рвущий волосами	мӯкантā						
реальный	амали, jорӣ						
ребро	(дарӯн-)пêрʒ, ганд-пêрʒ				ж		
ребятишки	цӣɣ̌ʒ-пилӣɣ̌ʒ, хӣч-харич						
ребяческий	кӯдаки						
ревень	шиторθк, чукри				ж		
ревизия	тафтӣш						
ревизовать	тафтӣш ч. (кин)						
ревматизм	бандак-дāрð, риx̌ен-дāрð				м		
революционный	инqилоби						
революция	инqилоб				ж		
регулярно	уwаст, амеx̌ā						
регулятор	марwат, хӣт-ðорг, лахак, шāр-ɣẙɣ̌						
редактор	му(h)арӣр						
редакторство	муарӣри						
редакция	газӣт-хẙнā						
редкий	камчӣн, камйоб; чāч						
редко	зӯр; кам-андаркам						
режущий	x̌ичандӣj, буриндā, бураx̌дор						
резание	бураx̌				м		
резвиться	биждаɣиз ð. (ðāð)						
резвый (о лошади)	даwанд						
рези в животе	qӣч сӯзаx̌						
резиденция	пира пӣрхẙнā				м/ж		
резина	сиреx̌				м		
резиновый	сиреx̌ин						
резкость	x̌ипêхи				м		
резной	наx̌qдор						
результативный	натиjадор						
резь	халлā, сӯзаx̌ м						
резьба	наx̌q(-ат нигор), каɣ̌ак				м		
рейка	зивак, рẙпцак-ðорг						
река	дарйо, x̌ац, пӯд				ж		
религиозность	дӣн-дори				м		
религиозный	дӣндор, дӣни, намоз-x̌ойӣj						
ремень	тасмā, камар(банд), барбанд				ж		
ремесленник	wисто(ð), унарманд, сойиб(h)унар						
ремесло	касабā, касп, wистоðи				м		
ремонтировать (обувь)	x̌êз: x̌êзд						
репа	сāрб				ж		
репей	ðафцак						
репейник	ðафцак, (сипойи)-жāш				ж		
реплика	тарɣузā, фарзӣн				м		
репутация	обрӯй, номӯс, нахwат				м		
ресница	пӯθч				м		
республика	jамӯрийат м/ж, риспӯблик(а)						
ретивый	хаx̌-лаjẙм						
речистый	суханпардоз						
речка	шарвидоj, зирāв				ж		
решающий	хаx̌						
решенный	āл-чӯɣ̌jин						
решено	qатта						
решетка	панjарā						
решето	ɣалбел/р				ж		
ржавчина	зирич, зāнг				м		
ржавый	зāнгин						
ржаной	лашакин, лашак-wоx̌						
ржущий	ɣӣнʒāн						
рис	биринj				ж		
рискованный	таwакали						
рисковать	ху поð-анд торx̌ ð. (ðāð)						
рисование	наqшакаши				м		
рисовать	тāж: тӣжд, сӯрат тӣждоw						
рисовый	биринjин						
рифма	qофийā						
робеющий	чупак						
робкий	x̌оjиjин, гоw-тӯри						
робость	безāраги				м		
ров	нāр ж, qандāq м						
ровесник	амсол, амсинд						
ровно	рост, так-ба-так, сарлук, баробар, сāровги						
рог	хоx̌						
рогатина	духêx̌ā						
рогатый	хоx̌ин/хоx̌дор						
родильница	цӣгбиц				ж		
родимое пятно	наɣ̌				ж		
родина	wатан				м		
родинка	хол, наɣ̌				ж		
родители	дод-ат нāн						
родичи	хеx̌-ат табор, хеx̌-ат qаwм						
родник	чаx̌мā				ж		
родной	бобиги, jẙноjẙн, jойдод						
родня	аwлод, хеx̌-ат табор, хеx̌-ат qаwм						
родовитость	jад						
родовой	бобиги, зоти						
родоначальник	бинйот, бунйод						
родство	хеx̌дори				м		
рождение	таwаллуд, аз нāн сидоw						
рожденный	qӣчẙнч						
роженица	цӣгбиц				ж		
рожок	тирумб				м		
рожь	лашак				ж		
роза	гул, садбар(г)				м		
розарий	гулистẙн						
розовый	гилгӯнд, садбарг						
розочка	гулик				м		
розыск	даqсуq						
рокот	wаɣɣаст				ж		
ронять	патêw:патêwд						
ронять	боð ч. (кин)						
роса	x̌абнам				м		
росистый	wахwойин						
роскошь	дабдабā				м		
росный	wахwойин						
роспись	наx̌q(-ат нигор), гулкори				м		
ростки	наwчā, чинголак, тарjиq, куx̌ч				м		
ростовщик	сӯдхур						
ростовщичество	сӯдхури				м		
росток	наwдā, бункӣнцак, тухчак				м		
ростэ	(мера измерения сыпучих) роста				ж		
росяной	wахwойин, x̌абнамин						
рот	ɣêв				ж		
роща	дирахтзор, лẙл						
ртуть	сӣмов				м		
рубаб	рабоб				ж		
рубабист	рабоб-наwозӣj						
рубаи	рабойи				ж		
рубашка	куртā				м		
рубец	дāɣ̌ʒ				м/ж		
рубин	лāл				ж		
рубль	сẙм				м		
рубчик	нефā				м		
руда	мāдан, x̌увā				м		
рудник	кẙн				м		
руины	wерẙнā, харобзор						
рукавица	даст-мӯзā				м		
руки	ðустен, ми-qāп, ми-ðуст, чāq						
рукомойник	далqāн, офтобā				м		
рукоплескание	чапак-ðêд, x̌икẙф				м		
рукопожатие	калайи-даст				м		
рукоятка	дастā, wӣð				м		
румяна	хорак				м		
румяный	рӯшт, рошт-пāли, лолатов, лолагӯн, рӯштеʒ						
рупия	рӯпийā				м		
русло	шарвидоj-хẙнā, сангов						
русский	wу/ирус						
рута	сипāнд				м		
рухнувший	чук-ðоðjин						
ручаться	зомӣн (/бархурдор, кафӣл) с. (сāw)						
ручей	чаx̌мā				м		
ручка	дастā, мутак, нêɣ̌ӣjак				м		
ручной	ðустаки, дастаки						
рушанец	риx̌ен						
рушанка	риx̌ен						
рушиться	wоx̌: wêx̌т, амбӣθ: амбӯст						
рыба	мойи				м		
рыгание	qирӣпак				м		
рыжебородый	зӣрд-бẙн						
рыжеволосый	зӣрд-ɣӯнj						
рыжеголовый	зӣрд-гӣл, зӣрд гāл						
рыжеголовый	зӣрд-гӣл, зӣрд-гāл						
рыжий	зӣрд, рӯшт						
рынок	бозор				м		
рыночный	бозори						
рысь	дуq-дуq				м		
рытвина	ситjẙн				м		
рыть	чāн: чӣнт, рарð: руx̌т						
рытье	чāниʒ, хоx̌-бел				м		
рыхление	почвы побел				м		
рыхлый	каwок, θӣпцак						
рычаг	орāм, фашанг, сенӣj				м		
рябенький	чӯɣ̌ик	чуwик					
рябой	гулакин-бӣц, кар(а)бāш						
рявкать	пӣц хӣдоw						
рядом	пис-пāли, наздӣк, пидфак-аθ						
сабля	x̌обjêд, шамшер				ж		
саван	кафāн, такфӣн				м		
садик	боɣак, боɣчā				м/ж		
садовник	боɣбẙн				м		
садовод	боɣдор, нуол-нêðӣj						
садоводство	боɣдори				м		
садок	боɣак				м/ж		
саженками	дастак						
сажень дров	сарjӣн						
саксаул	саксаwил				м		
салат	салāт				ж		
салки	чошни						
сальник	чарви				м		
салют	салӯт				м		
салютовать	салӯт ð. (ðāð)						
сам	хуб-аθ, ху поð тӣр						
саман	зимāр(wоx̌)						
самаркандец	симарqанди						
самаркандский	симарqанди						
самбуса	самбӯсā				м		
самец	нар, нӣр, ɣур				м		
самовар	самоwор				ж		
самовольничать	wистохи ч. (кин)						
самолет	кемā, самалот				ж		
самолюбивый	номӯсдор, нангдор						
самонадеянность	аwобаланди						
самонадеянный	аwобаланд						
самоотверженно	фидокорẙнā						
самоотверженность	фидокори				м		
самоотверженный	фидокор(ẙнā)						
самопрялка	чāрх ж, сарпаррā						
самостоятельно	хуб-аθ, ху поð-тӣр						
самостоятельность	истиqлолийат				м		
самостоятельный	сойибихтийор, парẙн(чак)						
самоуверенность	худписанди				м		
самоуверенный	худписанд						
самохвал	худситоw						
самохвальство	худситоwих				м		
самый	сар						
сандалии	чапли, попӯx̌, нāлӣнг				м		
сани-волокуши	чигинā				ж		
сантиметр	сантиметир				м		
сапоги	мӯзā(-йен), пилук				м		
сарай	ðӣдjӣц, биjӣндẙн				м		
саранча	малах						
саратон	саратẙн				ж	(назв. месяца)	
сатана	иблӣс, шайтẙн				м		
сатин	сатӣн				м		
сафедак (сорт пщеницы)	сафедак						
сахар	шакар, qанд				ж		
сбережение	тидорак, тадорук, дӯдпӯли				м		
сбивалка	нӣмðорг				м		
сбивание масла	бẙɣ-мӣзд						
сбивчиво	зарwӣнак, барзӣнак						
сбившийся	килумб						
сближать	наздӣк ч. (кин)						
сбоку	пāли-пāли						
сборище	маjлис, ме(й)лис м, мāракā						
сборка	чӣн, камарчӣн						
сборщик	ðẙвӣj						
сборы	тарадуд, инjẙмот						
сбываться	татбӣq с. (сāw)						
сбыт	фирӯx̌/ш						
свадебный подарок	сӯрẙнā						
свадьба	сӯр(-чӣд), нико				м		
сваливать в кучу	хум ð. (ðāð)						
свалка	jанг-ат wêð(д)						
свара	ðêд-ат wиʒид						
сваривать	кафx̌ел ч. (кин)						
свариваться	пис:пêхт						
сварившийся	пêхчин						
сварка	кафx̌ел/р						
сварливая	jаɣат; (перен. ) кид				ж		
сварливый	wāɣӣj						
сват	хеx̌игāр, хосгор, qудā						
сведения	дарак, хабар, мāлӯмот				м		
сведущий	дẙно, фāмӣj, фāмчоз						
свежевать	каɣ̌:куx̌т						
свежий	тирак						
свекла	лаблабӯн				м		
свекор	хисур				м		
свекровь	хӣx̌				ж		
сверло	бармай				ж		
сверстник	амjинс, амрадӣф						
свертывать	зарwӣн:зарwӣнт						
сверху	ас тӣр, патти						
свет	нӯр, риx̌ноги, рух(и)				м		
светец	цироw ж; сокинак м						
светильник	чироɣдẙн, цироw				ж		
светло-рыжий	рӯрв м, рорв ж						
светлый	рух, риx̌нойи						
свеча	шāм, далӣлак				ж		
свивальник	поцвāx̌ ж, по/дас-бандак м						
свидетель	гуwо, шойид						
свидетельство	шойиди, гуwойӣ				м		
свидетельствовать	гуwойи (/шойиди) ð. (ðāð)						
свинья	хӯг				м		
свист	фрӣчаст, паɣаст				м		
свист соловья	чāчаā				м		
свистеть	фрӣчаст (/чāчаā) ч. (кин)						
свита	пайрā				м		
свобода	озоди				м		
свободный	бе-кор, йет, озод, халос, холи						
своеволие	бесāри				м		
своевольничать	бе-сāри ч. (кин)						
своевольный	худихтийор; бесāр						
своенравный	калẙн-хер						
свой	ху(баθ), худи, хунд, хурд						
свойство	хусӯсийат, хосийат						
свойство	хеx̌и						
свойство	хусӯсийат, хосийат						
свояк	боjā				м		
свояченица	хийẙн				ж		
связанный	пеwāнд						
связка	wêб				ж		
связывать	вӣнд: вӯст, wêб ð. (ðāð)						
связь	алоqā м, wасли						
святой	аwлӣйо, бизург						
святость	азрат				м		
священный	бизург, халӣфа						
сгиб	то				м		
сглазить	цем ч. (кин)						
сговоренная	хисменʒ						
сгонять	тох wеðдоw						
сгорать	сухтā с. (сāw)						
сгребание	рẙбиʒ						~снега жиниj рẙбиʒ
сгребать	рẙб: рẙвд, рẙбиʒ ч. (кин)						
сдавленный	жаqчак						
сдавливать	жаq:жаqт						
сдача	таслӣм м, киро						
сделанный	сохтā (чӯɣ̌jин)						
сдержанность	тоqат, парðā						
сдержанный	ба парðā, парðадор						
север	шамол						
северный	шамоли						
сегодня	нур(ӣнjā), йик-нур						
седеть	сафбẙн (сафегāл) с. (сāw)						
седло	биðāн(д) ж, мӯлā				м		
седобородый	сафебẙн, седой						
седоголовая	сафегāл						
седьмой	wӯвдум						
сезон	фасли, jев						~ зимы зимистẙнjев
сеид	сайӣд(зодā)						
сейчас	ɣал, озир, шич, дараw						
секрет	сир						
секретарь	котиб, мӣрзо						
сектор	шāбā/шӯбā				м/ж		
селезенка	сец				ж		
селение	дийор, дӣ, qишлоq				м		
селиться	барjой с. (сāw)						
сель	сел-ат санг, сел				ж		
семейный	ижɣолдор, катхуðой						
семейство	jамāт				м		
семидневие	wӯвдум						
семилетний	wӯвдсолā						
семнадцать	авдā						
семь	wӯвд						
семья	бāч-ат кāч, jамāт						
семя	тẙɣм, ðẙнj				м		
сени	дāлӣʒ				ж		
сенник	wоx̌jӣц				м		
сеновал	wиx̌тен				ж		
сердитый	хафā						
сердиться	qāр ч. (кин)						
сердце	зорð, дил				ж		
сердцевина	диллā, мāɣʒ???, поw				м		
серебро	нуqрā				ж		
серебряный	нуqраги						
середина	миðенā				м		
середка	диллā				м		
серовато-голубоватый	кабӯт						
серьги	гӯx̌wор, ɣẙɣ̌-сифц				ж		
сестры	йахʒинен						
сетар	сетор				ж		
сетование	нолā(н)				м		
сеть	тӯр				ж		
сеяние	тẙɣм-wеðд						
сеятель	wеðӣj						
сжатый	жаqчак						
сзади	думбол-тӣр, зибо-нди, ас зибо						
сивый	сурхӯн						
сидеть	ниθ: нӯст, wол: wолт						
сидящий	нӯсчин м, нӣсцин ж						
силач	ландаwӯр, пāлаwẙн						
силиться	зӯр с. (сāw)						
силок	алqā, пêð, тāк				ж		
силы	ол, qуwат						
сильный	ба-qуwат, зӯр						
символ	ниx̌ẙн				м		
синевато-серый	x̌ӣн						
синий	x̌ӣн, нӣли						
сирота	саɣӣр(ā)						
сиротство	бекасоти, саɣӣраги				м		
ситец	чит, алwẙн				м		
сито	ɣалбел, йелак				ж		
сифилис	бод/ðи-мараз				м		
сияние	нӯр				м		
сказка	сẙг				ж		
сказочник	сẙг-лẙвӣj						
скакун	даwанд						
скала	тāх, жӣр				ж		
скамья	дакẙнак, чāлак				м/ж		
скандалист	ɣаwɣокун, ɣаwɣогāр						
скармливать	хêр:хêрт						
скатерть	суфрā, дасторхẙн				м		
скатывать	оле (/чархā) ч. (кин)						
скачки	пойгā-диwент, ворj-диwент						
скачок	аллоз				м		
скверна	гандаги				м		
сквернослов	йоwалẙвӣj/-гӯ						
скверный	гандā, йоwā						
скворец	майно				ж		
скиталец	дарбадар, ɣарӣб						
складка	jӣнг, то						
складчина	кирйо						
склока	ðêд-ат wиʒид, ɣоw						
