shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
sitám	sitam												угнетение, гнет, насилие, притеснение		(нов.)
sitán	sitan												столб, колонна		
sitanák	sitanak												стойка самопрялки		
sitā́vǰ	sitavj												алчный, жадный до чего-либо	at tām sēr vid at vṓ-ga mis ca xīrt, dað as wi lů́vēn: a-rō, yid sēr-sḗr-at, ammō sitā́vǰ когда человек сыт, но продолжает есть, говорят: он насыто сыт, да жаден	
sitếb	siteb,sitept,sitept,sitepč,siteptow			sitếpt			sitḗpt	sitḗpč			sitêptṓw		мешать, размешивать, помешивать, переворачивать (во время жарения)		
šitếq	šiteq												плоский, низкий с широким отверстием (о сосудах); разинутый	šitêq γêv с разинутым ртом	
sitíd	sitid												густой (о жидкостях)	sitíd xux̌pā́ густая похлебка	
sitír	sitir												нестельная	sitír žōwḗn-at x̌aǰḗn dargṓ-rad-aθ rísēn нестельных коров вместе с быками оставляют снаружи	(=sitirunakí)
sitiráxm	sitiraxm												благовонное курение		
sitirḗʒ	sitireʒ,stireʒ	stirḗʒ											самка		
sitirēʒák	sitireʒak												вредитель пшеницы		
sitirṓb	sitirob												поспешность, торопливость, суетливость	sitirṓb cīdṓw спешить, торопиться, суетиться	
sitirōbkṓr	sitirobkor												поспешный, торопливый		
sitirōbwṓr	sitirobwor,sitrobwor	sitrōbwṓr											торопливо, поспешно		
sitirūnakí	sitirunaki,stirunaki,sitrunaki,strunaki	stirūnakí,sitrūnakí,strūnakí											нестельная		ср. sitír
šitṓ	šito												холодный, холодно	šitō kix̌t холодно, холодает; mu zōrð as wi šitṓ sut я охладел к нему; šitō ðêdṓw простудиться; a-rō, biyṓr-um bē půstī́n-aθ nax̌tū́yd tar vaǰ xu šitṓ mu ðṓd-i, šíč-um tām nōxúš rā́ngaθ вчера я без тулупа вышел наружу, меня прохватило холодом, и теперь я немного болен	
šitōǰáx̌	šitojax̌,šitojax̌i	šitōǰax̌í											холод, стужа		
šitṓrθk	šitorθk												дикорастущая трава, со съедобными листьями	šitōrθk-bix̌t мука из этой травы	
sitōwā́x	sitowax,sitowix	sitōwíx											похвала	xu sitōwáx самохвальство, бахвальство, хвастовство; yi cī́zaθ as wi ðust na yōðd-atā, dísaθ xu sitō-wáx kix̌t что бы ни вышло из его рук, он принимается хвалиться	
šitōyí	šitoyi												холод		
sitq	sitq												искренность, дружеское отношение, дружба	wúz-um wi(?) qatí sitq pēx̌ čūγ̌ǰ я упрочил с ним хорошие отношения; mu sitq wi(?) ðṓd-i моя искренность его поразила	
šitqarí	šitqari												неприятный, надоевший, нежеланный	tu tar mu čīd mā ya: tu-t murd šitqari не ходи ко мне: ты мне надоел; tu-t fuk xēz-and šitqarí ты всем надоел	
sitů́r	situr												крупный рогатый скот	mṓl-at sitů́r рогатый скот	
šitúr-murγ	šiturmurγ												"страус („верблюд-птица"")"	"šitúr-murγ Andastů́n-and lap: wam ik-důnd ǰāt lů́vēn šitúr-murγ didi, wam pōðḗn x̌itúr-and dastū́r страусов много в Индии, их потому и называют „верблюд-птица"", что у них ноги, как у верблюда"	ж.
sitxů́n	sitxun												кость	sitxůnák косточка	
sīv	siv												козел-производитель		
sīvd	sivd												плечо	xu tar sīvd на свое плечо	
sīvdák	sivdak												дверной косяк, притолока		
siyā́k	siyak												"„головня""; вредитель пшеницы: колос, внутри которого испорченное зерно, почерневшее и негодное в пищу"		cp. γiγ̌arák
siyḗzd	siyezd												съезд	síyēzd-ēn bar-pō čūd устроили съезд	(нов.)
siyṓ	siyo												черный		
siyōpū́x̌	siyopux̌												одетый в черное, носящий траур, сияпуш	wi dōd mūd wi čīd ǰamā́t-ēn siyōpū́x̌ xu čūd у него умер отец, и все его домашиние оделись в черное (стали носить траур); qadī́m-and-ēn ar kōfarḗn siyōpū́x̌ mis lůvd в старину кафиров (иноверцев) называли также сияпушами	
siyōsát	siyosat												политика; обществоведение		(нов.)
siyōyí	siyoyi												чернила		
siyōyidů́n	siyoyidun												чернильница	ar mi siyōyidů́n siyōyí kin налей чернил в эту чернильницу	м.
sīzd	sizd												назв. цветка; дикая маслина, джида		
sīzdxōrák	sizdxorak,sizxorak	sīzxōrák											назв. птицы, излюбленной пищей которой является дикая маслина (sīzd)		
siʒ	siʒ												игла, иголка	siʒ virúx̌t(?) иголка сломалась	ж.
siʒák	siʒak												застежка, заколка; булавка	mōyí siʒák рыбные кости	
šo	šo												духовное звание, вроде саида		
sōbí	sobi												хворост и дрова, приносимые рекой в полую воду	cimū́d-um zōx̌t xu, dáð-um sōbí anǰī́vd sut я взял корзину и пошел набирать хворост из воды	
sōcialīstí	socialisti												социалистический		(нов.)
sōcialī́zm	socializm,sacializm	sacialīzm											социализм		(нов.)
sōðā́	soða												простой, наивный, простодушный	sōðā́ ōdám ik-u yidi, yu na xu fōyidā́ wizḗntat, na xu zarár простой человек — это тот, кто не разбирает, где ему польза, где вред	
sōf	sof												начисто, совсем, окончательно, целиком		
sōhā́t	sohat,soat,suhot,suot,sot	sōā́t, suhṓt, suṓt,sōt											час, часы	maðṓr yā́ni sōáti duwōzdā́ полдень, то есть двенадцать часов; wúzum as ará suṓt-and kōr čūd tō xōγ̌ suṓtēc я работал с трех часов до шести; sōtí(k)-ga часок, еще несколько времени, сейчас, скоро; qarṓr kin, mu nā́n-ta šič sṓtiga yōðd подожди немного, моя мать скоро вернется; yā mu suṓt wērṓn sat те мои часы испортились	
sōkinák	sokinak												подсвечник, светец		
sōl	sol												год	cůnd-sōlī́nǰ? на сколько лет? cůnd-sō-lī́nǰ ā́d-at wi qatī́r mardikōŕi čūγ̌ǰ? на сколько лет ты подрядился к нему в работники?	ж.
šōlčā́	šolča												попона, конское покрывало		
sōlůnā́	soluna												годовой, годичный	māš sōlůnā́ awqṓt наше годовое пропитание	
sōmůnā́	somuna,somuna	sōmūnā́											украшение	sōmůnā́ ðêdṓw украшать; mā́s-ām Uktā́bir ayů́m ǰāt xu sínf-at klūb sōmůnā́ ðōd для Октябрьского праздника мы украсили свой класс и клуб; xu sōmūnā́ (=pōmūnā́) čīdṓw принаряжаться	
šoš	šoš												песок		м.
šōšwā́l	šošwal												трясина		
šōv	šov												спокойный, выносливый, терпеливый		
sōwū	sowu												тише! стой! (приказание остановиться быку или корове)		
šōxā́	šoxa												вилы в сложениях	du-šōx̌ā́, sē-šōxā́, čōr-šōxā́, panǰ-šōxā́ вилка, вилы (двух-, трех-, четырех- и пятизубые)	
Sōx̌čā́rv	Sox̌čarv												назв. селения на р. Пяндж		
sōxt	soxt												сорт, род; вроде, наподобие	mu dṓd-and wi xayṓl nur ar rāng ca yi sōxt-gā-θ мысли моего отца сегодня что-то уже другого рода; yik-dā́ð sōxt kōrḗn mu ta-bā́t-ard na fōrēn этого рода поступки мне не по нраву; di sōxt ōdám-um lap wīnč таких людей я много видел	
sōxtā́	soxta												сделанный, построенный, устроенный, сооруженный	sōxtā́ čīdṓw сделать, построить, устроить, соорудить; falůní xurd čī́d-i sōxtā́ čūd такой-то построил себе дом	
sōyā́	soya												тень	sōyā-nīst, sōyā-ðêd(ak) перед вечером, время заката солнца; falůní-ta sōya-nī́st-ard ar xu čīd firṓpt такой-то к заходу солнца доберется домой; sōya-ðêd-ard-ām ar Dīrix̌ů́n frīpt перед вечером мы добрались до Ди-Рушана; yā mēθ vēgā́ sat at yā wam xōlā́ tōyd atā, sōya-ðêdáki wam virṓd yat в тот день наступил вечер, ее тетка ушла, а на заходе солнца пришел ее брат	
Šṓyi-safdar	Šoyisafdar												имя святого, жившего за несколько сот лет до нашего времени в с. Виёд, где есть посвященный ему мазар		
sōyíb	soyib												хозяин, владелец, собственник, господин		
sōyibí	soyibi												владение, обладание	sōyibí čīdṓw распоряжаться, поступать по усмотрению	
sōyibxůnā́	soyibxuna												хозяин, хозяин дома, домохозяин		
šōyíd	šoyid												свидетель		
šōyidí	šoyidi												свидетельство, свидетельское показание, подтверждение	šōyidí ðêdṓw свидетельствовать	
šōyī́n	šoyin												королевский сокол, ловчая птица		
sōz	soz												пение, мелодия; песни, стихи	sōz lůvdṓw петь; sōz čīdṓw настраивать, налаживать (музыкальн. инструмент); wā́ð-ēn sōz lůd они пели; rabṓb-ti niwṓzd-at sṓzēn они играют на рабобе и поют	
sōz	soz												удобный, подходящий; ладный, хороший	„tu āwṓl sṓz-ō?“ — „ůn, sōz“ (= bašā́nd) „хороши ли у тебя дела?“ — „да, хороши“	
sōzák	sozak												песенка		
sōzindā́	sozinda												музыкант, певец		
sōzingí	sozingi												пение		
stakā́n	stakan												стакан		(нов.)
šū-amā́	šuama,šuma	šū-mā́											муж сестры отца		(= mů-mā čōr)
šū-xōlā́	šuxola												муж сестры матери		
subadámaθ	subadamaθ,subadam	subadám											на рассвете		
subůnillṓ	subunillo,subunullo	subůnullṓ											рано утром	ǰumā́ mēθ mu nān subů-nillṓθ andṓyd xu, xu pī́c-í zinṓd... в пятницу рано утром моя мать встала, умылась...	
subū́r	subur												только в сонет		(поэтич.)
sūčí	suči												воробей, мелкая птица	as sūčí-ta qadī́m ōdamḗn ik-dis lů́vēn didi, yā ar x̌ac ca dēðd, xist na sůd про воробья старики говорят, что если он попадет в воду, то не мокнет	ж.
sūd	sud												суд		
šūð	šuð												хворост, колючка, шиповник		м.
šūð-káx̌	šuðkax̌												собиратель хвороста		
suðā́	suða												стершийся (о копытах)	mu x̌īǰ sumbḗn-ēn suðā́ у моего быка стерлись копыта; vōrǰ suðā́ suðǰ (неподкованной) лошади стерлись копыта	
šūðín	šuðin												колючий, из колючек		
šūðzṓr	šuðzor												заросли, кустарник		
sufrā́	sufra												накрытый стол, скатерть с яствами		
sůg	sug												сказка	yam mu sůg tayṓr sat моя сказка кончена	ж.
šůg-šůg	šugšug												призывной окрик для телят		
suglí pêx	sugli pex												мягкие сапоги с неподшитой подошвой		
sugli-dū́z	sugliduz												шило (для шитья мягких сапог)		cp.cōγ̌ʒ, sandāl-dū́z
šukrát	šukrat												благодарение, благодарность		
šūlā́	šula												каша жидкая		
šulkí	šulki												искривленный нож для нарезания теста		
súlli	sulli,sulhi	súlhi											мир, примирение	súlli ðêdṓw (ðāð) примирять; мириться; súlli čīdṓw жить в мире	
šullí	šulli												дощечка или диск для игры в šullí-bêx̌t		
šullí-bêx̌t	šullibex̌t												назв. детской игры, в которой или мечут диск (дощечку, šullí) рукой, или же гоняют его по клеткам ногой, как в игре „в классы”	yi bōzí wi nům šullí-bêx̌t; wí-ta yak-pōðdk bṓzēn: yi pōð xund dar-awṓ kinḗn atā, yīw qatī́ silúq-culúq zibánēn есть одна игра, название которой „šulli-bêx̌t“; в нее играют на одной ноге: одну ногу поднимают, а на другой прыгают	
šullibṓz	šulliboz												мечущий диск, играющий в детскую игру „šulli-bêx̌t“		
sům	sum												рубль		
šum	šum												ленивый, лентяй, бездельник, лодырь	yi virṓd mund ca ik-důnd šum didi, xu pêxḗn pinīwdōw wird zūrí kix̌t у меня брат так ленив, что ему трудно даже надеть себе обувь; šum ōdám-ard mi wáxt-and xurṓk yi yṓraθ na ðīd в наше время никто не станет кормить бездельника	(= tambál)
šůmā́	šuma,šuma	šūmā́											листья спитого чая, остающиеся на дне чайника		
sumán	suman												караковый, соловый		
sumb	sumb												копыто		
sumbulā́	sumbula												август; созвездие девы		
šumí	šumi												леность, нежелание работать	as dásti xu šumí-yi xu čī́d-at xu zamī́n parðṓd-at, wi pū́r tīr-i zíndagůní čūd не желая работать, он продал свою землю и дом и стал жить на эти деньги	
sůn	sun												плотная бумажная ткань, бязь		
šunč	šunč												смех	šūnč ðêdṓw (ði) смеяться, разразиться смехом	
sunní	sunni												суннит		
šuṓr	šuor												девиз, лозунг		(нов.)
sup-siyṓ	supsiyo,čupsiyo	čup-siyṓ											черный-пречерный, очень черный		
sūr	sur												свадьба, пир	sūr čīdṓw, sūr anǰīvdṓw справлять свадьбу; sūrḗn bēx̌dí zimistů́n-and kinḗn свадьбы справляют преимущественно зимой; sū(r)rā́w свадебный гость	
sūrā́t	surat												картина, изображение, портрет; рисунок, чертеж		
surb	surb												олово; диск для бросания (детская игрушка)	wúz-at Yōrī́k-ām ʒulík ca vad lā́s-āt súrb-at gů́y-ām bêxt когда мы с Йориком были маленькими, мы играли и в чижа, и в мяч, и в диск	
šurčák	šurčak												подъем ноги; щиколотка, лодыжка		
šūrṓ	šuro												совет	ukūmáti šūrṓ советская власть, власть советов; šūrṓ wáxt-and в советское время	(нов.)
šūrōyí	šuroyi												советский	hukū-máti šūrōyí советская власть	(нов.)
sūrv	surv												насекомое, паразитирующее на рогатом скоте	sūrv tar ðakīǰák můnínd ðīd, ammō sūrv bar ðakīǰák lap γullā́ „sūrv“ похож на „ðakiǰák“, но гораздо крупнее	
surx sittṓw	surx sittow												влюбляться	falůní wam γā́c-tīr surx suðǰ (=kōtā́, ōšíq suðǰ) он влюбился в эту девушку (у него роман с этой девушкой)	
surxā́	surxa												назв. вредителя злаков	agá yu kax̌t tīr ca nīθt, kax̌t rūšt sůd если он поражает посевы, они становятся красными	
surxū́n	surxun												сивый (конская масть)		
sust	sust												слабый, немощный, бессильный, непрочный		
sust-ǰůn	sustjun												хилый, тщедушный		
šut	šut,šat		šat										хромой, со сломанной ногой		
suwṓl	suwol,siwol,sawol	siwṓl, sawṓl											вопрос	maktāb bačgalā́ xu mūalím-ard lap suwṓl ðā́ðēn школьники задают много вопросов своим учителям	(нов.)
suwwúm	suwwum,suwum,suyyum	suwúm, suyyúm											третий, в-третьих		
sūxtā́	suxta												подгорелый, пригорелый, сожженный	sūxtā́ sittṓw пригорать, подгорать, сгорать; as bī́r(?)-ēn bōrdů́n pīðíd, yu duzd yímtīr θud, wi sitxůnḗn-en mis sūxtā́ sat снизу подожгли дрова, преступник на них сгорел, даже кости обгорели; kabōbḗn-um pi(?) kicṓr niðḗmt, sūxtā́-yēn sat я прилепил мясо (шашлык) к стенкам печки, и оно пригорело	
sūzā́x̌	suzax̌												горение, жжение, воспаление	sūzáx̌ čīdṓw жечь, гореть, воспаляться; mu angíx̌t ik-důnd sūzáx̌ kix̌t didi! у меня так жжет палец!	
tāb	tab												жар, горячка, лихорадка		
tab-larzā́	tablarza												лихорадка		ср. tāb
tabasúm	tabasum												улыбка	tabasū́m čīdṓw улыбаться	
tabā́t	tabat												натура, характер, нрав	mu tabā́t-ard na fōrt мне не нравится (мне не по нраву)	
tabaγí	tabaγi												угощение, сладости		
tabêāt	tabeat												природа		(нов.)
tabī́b	tabib												врач, доктор		
tabīlā́	tabila												пуск лошади (привязанной или со спутанными ногами) на подножный корм	vṓrǰ-ēn di wōx̌ ǰṓy-ard yōd xu, mêx-ēn di ðōd, dáð-ta yik-di lů́vēn tabīlā́ когда лошадь пускают на луг и привязывают к колышку, это называют “tabīlā́”	
tabrukí	tabruki												благословение, благодать	yi-lāv as ōstů́n-ti sit xu tī́t-at lēmṓl nůlḗn-and girí kinḗn tabruki ǰāt берут немного земли с мазара и завязывают ее в концы своих платков и покрывал ради благодати	
tābū́k	tabuk												тиф, горячка, бред		
taburētkā	taburetka												табуретка		
tādī́d	tadid												запрещение, запрет, угроза		
taf ðêdṓw (ðāð)	taf ðedow (ðað),tafi ðedow (ðað)	tafí ðêdṓw (ðāð)											пропаривать, дать выпреть, протушить (кушанья)	taf xīdṓw пропариться, выпреть, протушиться; yam birínǰ taf ðêdṓw-ard рис уже пора пропарить; dam birínǰ táfí ðāð yid xům mā rist хорошенько дай выпреть рису, чтобы не осталось непроваренного; yam birínǰ γal taf na xūγ̌ǰ этот рис еще не выпрел	
tāf-darū́n xu čīdṓw	tafdarun xu čidow,tafdarunand xu čidow	taf-darū́n-and xu čīdṓw											убиваться по ком-либо, быть вне себя от горя	yi yṓr-and wi nān mīrt, dáð-i di yu lap nī́wd-at, xu γū́nǰ-i rut čūd, lů́vēn didi, falůní tāf-darů́n-i xu čūd у кого-нибудь умирает мать, и когда он начал рыдать и рвать на себе волосы, тогда говорят: такой-то вне себя от горя	
tafáx̌	tafax̌												пар, туман		
tāfc	tafc,tafci	tāfcí											защита, охрана, поддержка	tāfci čīdṓw защищать, охранять, поддерживать; māš qawmḗn-ḗn māš tīr tāfcí čūd наши родственники нас поддержали	
tafōwū́t	tafowut												разница, различие, отличие		
tafsī́n	tafsin												тафсин, мера жидкостей и сыпучих тел, несколько меньшая 2-х кг	tafsī́n čīdṓw мерять, измерять (жидкости)	
taftī́š	taftiš												исследование, обследование, расследование, следствие, ревизия, проверка, контроль		(нов.)
tagṓv	tagov												низ, вниз, внизу	ar ta-gṓv вниз, внизу; as tagṓv снизу	
tagōvī́n	tagovin												по низу, низом, снизу, нижний		
tagōvnếnǰ	tagovnenj												нижний		
taǰarák	tajarak												затычка на плуге, придерживающая дышло на петле, соединенной с ярмом		
tāk	tak												завязка (на халате)	nuqrā́ tākḗn серебряные завязки (посеребренные, украшенные серебром)	
tāk	tak												силок, западня для птиц	tā́k-ta wiðíč anǰī́vd ǰāt kinḗn „tāk“ делают, чтобы ловить птиц	
tak-sarí	taksari												подушка		
takbī́r	takbir												благодарственная молитва, прославление	ar wáxt-ēn di xurṓk xūd, bād as xurṓk-ta dað takbī́r kinḗn после того, как поедят, читают благодарственную молитву	
takkā́	takka												крошка, глоток, щепотка, комок (плова, тюри)		
takyā́	takya												подушка, опора		
tāl ðêdṓw	tal ðedow												сложить, уложить	wuz xu žīz tāl ðā́ðum я сложу свои дрова; dēv xu kitōbḗn istṓl tīr tāl ðāð сложи же свои книги на столе	
taláb	talab												приглашение, зов	taláb  čīdṓw приглашать, звать	
talabā́	talaba												студент, курсант, учащийся		(нов.)
talák	talak,talakbex̌t	talák-bêx̌t											детская игра: один ставит на кон четыре ореха горкой (три снизу и один сверху), а другие с трех—четырех шагов стараются вышибить их орехами же	"wúz-um mis yat xu daráw bōǰak-bêx̌t-um wēv qatī́r sut, ik-di māš bōzí-ta xuγ̌nůní ziv tīr talák-bêx̌t yō talak lů́vēn я пошел и стал играть с ними в орехи; эту нашу игру по-шугнански называют ""talak-bêx̌t"", или ""talák"""	
talíg	talig,tilig	tilíg											потник		
tālī́m	talim												обучение, преподавание	tālī́m ðêdṓw преподавать, обучать	
talṓq	taloq												развод брака		
talṓš	taloš												стремление, старание, рвение, заинтересованность	mund x̌êydṓw tīr lap talṓš у меня большое стремление к учению; talṓš čīdṓw стремиться, домогаться, стараться; wuz talṓšum, nōg lům ǰāldí xu bēsōwōtí nḗstum я стараюсь, как бы, думаю, поскорее ликвидировать свою неграмотность	
talōšák	talošak												соревнование, состязание, соперничество	wēv dar-mō-bḗn talōšak; yīw žīwǰ didi: nōg mund mu rūγán-at tux̌p yēl xā́vd-ard lapdidí vēd... между ними соперничество; одной хочется: как бы ко времени спуска с летовья у меня было побольше масла и кислого молока...	
talpák	talpak												меховая шапка (зимняя)		
talxā́	talxa												желчь, горечь		
talγuzā́	talγuza,tarγuza	tarγuzā́											вызывающие слова, дерзость	yu murd lap tal-γuzā́ lůvd он наговорил мне много дерзостей; lap talγuzā́ gāp murd ma ðāð не говори со мной так дерзко	
talγuzagū́y	talγuzaguy,tarγuzaguy	tarγuzagū́y											дерзкий, наглец, нахал		
tām	tam												ну, же, после, потом, сейчас, тогда, в таком случае, если, коль	tā́m-ard к тому времени, тогда; ik-tā́m именно, тогда, как раз тогда; ar tām... каждый, всякий, кто...	
tamá	tama,tame	tamē-											вы	принадл. tamānd, дат. tamárd	
tambā́	tamba												переполнение, теснота	tambā́ čīdṓw толкаться, тесниться, толпиться; tambā́ xu mā ki не теснись, не втискивайся; wi čīd-and lap tambā́ ōdám эта комната переполнена народом	
tambā́l	tambal,tanbal	tanbā́l											ленивый		
tambalí	tambali,tanbali	tanbalí											лень, леность	tambalí čīdṓw лениться	
tambů́n	tambun,tanbun	tanbů́n											штаны, панталоны		
tambū́r	tambur												тамбур, струнный музыкальный инструмент		
tāmī́n	tamin												обеспечение, гарантия	tāmī́n čīdṓw обеспечивать, гарантировать; as x̌ac tāmī́n sittṓw быть обеспеченным водой	(нов.)
tammū́s	tammus,tamus	tamū́s											зной, жара, пекло, разгар лета		
tamōkí	tamoki												табак		
tamṓr	tamor												ладанка, амулет, талисман		
tamōšṓ	tamošo												зрелище, смотрение, глядение	tamōšṓ čīdṓw cмотреть, глядеть, просматривать, любоваться	
tamōšōgā́r	tamošogar												зритель		
tamů́m	tamum												весь, вся, все	tamů́m čīdṓw кончить; tamů́m sittṓw кончиться	
tan	tan												тело, туловище; в сочетаниях и сложениях: человек, особа	yi tán-at pṓð-um я одинок; mu tán-at andů́m dārð kix̌t у меня болит все тело; tán-an(d) вместо; a-rō, wuz tu tán-an xu bandā́ ná kinum вместо тебя я себя не закабалю; wuz wi tán-and půnd mīzd sām я пойду работать на дороге вместо него	
tān	tan,tana	tānā́											упрек, укор, укоризна, выговор, порицание	tān ðêdṓw упрекать, порицать, выговаривать; yu mú-yi tān ðōd он упрекал меня	
tān	tan,tant,tant,tanč,tantow			tānt			tānt	tānč			tāntṓw		натягивать основу при тканье		
tanā	tana												тело, туловище;ствол, стебель	ðu tanā́-θ, aráy tanā-θ  вдвоем, втроем и т. д.; mu tanā́ dārð kix̌t у меня болит (всё) тело; žindám tanā́ стебель пшеницы; pirōtanā́ передняя часть туловища животного; zibōtanā́ задняя часть туловища животного; pirōtanā́-kāl, ðū́st-ēn, tō nṓfēc; as nṓf-and tō ðúmēc-ta zibōtanā́ lů́vēn „pirṓtanā́“ — это голова и передние ноги до середины (туловища); (туловище) от середины до хвоста называют „zibōtanā́”	
tānā́ ðêdṓw(ðāð)	tana ðedow(ðað)												упрекать, укорять, порицать, насмехаться	wi γiðā-m tanā́ ðōd xu, bād wind wi qār sifī́d, pōk na vēd ðêd pi mu wēðd я раздразнил того парня, он разозлился и вот-вот полезет в драку со мной	
tanagí	tanagi												ствол, стебель		(=tanā́)
tandirúst	tandirust,tandurust	tandurúst											здоровый		
tandurustí	tandurusti												здоровье		
tanếb	taneb												веревочная передача самопрялки		
tāng	tang												узкий, тесный, ущелье, теснина	tīramṓyi tā́ng-ard lap šitṓ kix̌t к концу осени становится очень холодно	
tāng anǰīvdṓw	tang anjivdow												стеснять, притеснять, угнетать, теснить	falůní-nd mú-tīr qārʒ vud xu, tā́ng-i mu anǰū́vd я был должен такому-то, и он очень теснил меня	
tang-tang 	tangtang 												динь-динь; звук ударов по металлу	ar-gůn tanukčā́-rd ðōrg qatī́r ca díyēn, yi awṓz nax̌tī́zd; ik-wí-ta tang-tang lů́vēn когда по жести бьют палкой, раздается звук; этот звук называют „tang-tang“	(звукоподраж.)
tangā́	tanga												теньга, деньга, деньги	mḗθ-and yī́w-at nīm tangā́-ti за полторы теньги в день	(=20 коп.)
tangí	tangi												стеснение, затруднение, трудность; ущелье, теснина		
tanhō	tanho,tano	tanō											одиноко, один, только один	wuz xu kōr tan(h)ṓθ na vā́r-ðīm tayṓr čīdṓw я один не могу справиться со своей работой; xu mōl tan(h)ṓθ mā l(?)āk pi pux̌tā́, wūrǰ wi na xīrt не оставляй без надзора свой скот в горах, а то волк его съест	
tānīǰák	tanijak												паук		
tanṓb	tanob												нитка бумажная, бечевка, шнур	tanṓb ðêdṓw (ðāð) мерить, выверять, выравнивать (по шнуру)	
tanqī́d	tanqid												критика		(нов.)
tanúk	tanuk												тонкий		
tanukā́	tanuka,tanukča	tanukčā́											жесть		
tāp	tap,tapt,tapt,tapč,taptow			tāpt			tāpt	tāpč			tāptṓw		топтать, уминать, вминать, всовывать	xu talpák-um tar wi kůγ̌ʒ tāpt я засунул в дыру свою шапку	
tapak ðêdṓw (ðāð)	tapak ðedow (ðað)												заставить выронить, уронить (толчком, ударом)	yu mū́n-i as ðúst-and ðōd tapák xu, bād yā mūn wêx̌t atā, yu yat xu, zṓx̌t-í wam он толкнул мою руку, яблоко выпало из нее, а он подошел и взял его	
tapā́l	tapal												горный карниз		(= têʒ)
tāpc	tapc,taps	tāps											расторопный, проворный, искусный, бойкий, ловкий	falůní gilī́m wīft tīr lap tāps (tāpc) такой-то очень проворен в тканье; Qurbůn-šṓ qastī́n anjī́vd and lap tāpc (tāps) Курбон очень ловок в борьбе	
taq	taq,taqt,taqt,taqč,taqtow			taqt			taqt	taqč			taqtṓw		стучать, постукивать		ср. tuqtow ср. tuq: tuqt
taq-taq	taqtaq												стук	taq-taq čīdṓw стучать; agá ðiyů́n žīr ōdám zêzd xu bād yak-digár-ard wēv ca ðīd, wā́ð-ta mis taq-taq kinḗn если взять два камня и бить ими друг об друга, то они будут стучать	(звукоподраж.) (ср. tuq-tuq)
taqal čīdṓw	taqal čidow												быть многословным, много говорить, болтать		(= lap gāp ðêdṓw)
taqdī́r	taqdir												предопределение, рок, судьба		
tāqī́q	taqiq												достоверно, несомненнo, действительно, доподлинно	wuz yik-di kōr tāqī́q (=tāyī́n) wizú-num я знаю это достоверно	
taqqanák	taqqanak												пестрый дятел	taqqanák yi parandā́; wam rāng safḗd-at, têr-at, rūšt; yōðd, diráxt tīr nīθt xu bād xu nůl qatí taq-taq kix̌t, wam taqqanák lůvēn „taqqanak“ — это птица; она и белая, и черная, и красная; садится на дерево и стучит клювом; ее называют „taqqanak”	ж.
taqsī́m	taqsim												деление, разделение	cavṓr taqsīm sēn делятся на четыре части	(нов.)
tar	tar												предлог, выражающий направление, местонахождение, время (на одинаковом уровне); помимо, вдобавок	 wuz tu tar-pirṓ márum я перед тобой умру; tu tar pirṓ sāw, wuz as zibṓ sā́wum иди вперед, а я пойду сзади; wuzík tar xīr, tu tar sōyā́ я на солнце, а ты в тени; tar tu xēz mu na lā́kēn меня не пускают к тебе; tar kā? куда? где? tar bīst за пазуху, за пазухой; tar asī́d-aθ в этом году; mu nā́n-ard-i mu xōlák as Pōrx̌inḗv yi žōw ðōd, tar wam žṓwaθ-ēn wámand ca-vṓr-ga čax̌ vad мой дядя из Поршнева дал моей матери одну корову; кроме этой коровы, у нее было еще четыре курицы	
tār	tar,tart,tart,tarč,tartow			tārt			tārt	tārč			tārtṓw		убирать нечистоты	di γār tār убери эту навозную жижу (из-под лошади)	
tār čīdṓw	tar čidow												одержать верх в споре, в пререканиях, в борьбе	tār sittṓw потерпеть поражен сдаться в борьбе, в споре; yu γiðā́ xub lap nimů́-yi mu čūd xu tō-m wuz yi gāp ðōd atā, yu tār sut xu, tūyd тот парень долго поносил меня, пока я не сказал (ему) одно слово, тогда он сдал и ушел; wuz as di sōxt ōsů́n kōr tār na sām такое легкое дело меня не смутит	
tar-pirṓ	tarpiro,tarpro	tar-prṓ											перед	xu tar-pirṓ перед собой	
tar-tī́r	tartir												через, поверх	wam wêð tar-tīr ik-důnd xax̌ alṓz čūd didi, dalī́laθ nāy он с такой силой перепрыгнул через арык, что и представить нельзя	
taráf	taraf												сторона, направление, край	yak taráf.., уak taráf в одну сторону.., в другую сторону; as taráf о, относительно, wuz as taráfi xu bōb yi-lā́v naqli kinúm я расскажу немного про своего деда; wēv náqli as ar ta-ráf-aθ они разговаривали о всякой всячине	
tarafāk	tarafak,tarafa	tarafā											сторона	ðu-tarafā́(k), ara-tarafā́(k), cavōr-tarafā́(k) с двух, трех, четырех сторон; двух-, трех-, четырехсторонний	в сочетаниях
taram	taram												там, туда		
taraqqí	taraqqi												развитие, прогресс	taraqqí ðêdṓw развивать; содействовать прогрессу	
tarbiyát	tarbiyat												воспитание	tarbiyát ðêdṓw воспитывать	
tarbū́z	tarbuz												арбуз		
tarð	tarð,tux̌t,tax̌t,tax̌t,tarðd,tux̌č,tax̌č,tax̌č,tarðdow,tix̌tow			tux̌t	tax̌t	tax̌t	tarðd	tux̌č	tax̌č	tax̌č	tarðdṓw, tix̌tṓw		драться (преимущественно о собаках и др. животных)		
